datetime,GF,day,hour
2016-01-17 02:00:00,2920.0000000018626,17,2
2016-01-17 03:00:00,2919.0,17,3
2016-01-17 04:00:00,3044.9999999962747,17,4
2016-01-17 05:00:00,2876.0000000037253,17,5
2016-01-17 06:00:00,2951.0,17,6
2016-01-17 07:00:00,3034.0,17,7
2016-01-17 08:00:00,3955.0,17,8
2016-01-17 09:00:00,7168.0,17,9
2016-01-17 10:00:00,7162.000000001863,17,10
2016-01-17 11:00:00,7517.999999996275,17,11
2016-01-17 12:00:00,7580.000000001863,17,12
2016-01-17 13:00:00,7253.0,17,13
2016-01-17 14:00:00,7193.000000001863,17,14
2016-01-17 15:00:00,7489.999999998137,17,15
2016-01-17 16:00:00,7260.0,17,16
2016-01-17 17:00:00,7289.0,17,17
2016-01-17 18:00:00,7294.000000003725,17,18
2016-01-17 19:00:00,7217.999999996275,17,19
2016-01-17 20:00:00,7035.0,17,20
2016-01-17 21:00:00,7191.0,17,21
2016-01-17 22:00:00,5813.0,17,22
2016-01-17 23:00:00,3525.0,17,23
2016-01-18 00:00:00,2939.9999999962747,18,0
2016-01-18 01:00:00,3010.0000000037253,18,1
2016-01-18 02:00:00,2961.0,18,2
2016-01-18 03:00:00,2853.0000000037253,18,3
2016-01-18 04:00:00,2842.9999999962747,18,4
2016-01-18 05:00:00,2952.0000000018626,18,5
2016-01-18 06:00:00,2867.9999999981374,18,6
2016-01-18 07:00:00,2915.999999994412,18,7
2016-01-18 08:00:00,2947.0000000018626,18,8
2016-01-18 09:00:00,3838.0000000037253,18,9
2016-01-18 10:00:00,6798.999999992549,18,10
2016-01-18 11:00:00,7066.000000007451,18,11
2016-01-18 12:00:00,7073.999999996275,18,12
2016-01-18 13:00:00,7139.000000007451,18,13
2016-01-18 14:00:00,7040.999999996275,18,14
2016-01-18 15:00:00,7268.999999996275,18,15
2016-01-18 16:00:00,7031.000000007451,18,16
2016-01-18 17:00:00,7098.999999996275,18,17
2016-01-18 18:00:00,7659.0,18,18
2016-01-18 19:00:00,7017.999999994412,18,19
2016-01-18 20:00:00,6892.000000005588,18,20
2016-01-18 21:00:00,6861.000000003725,18,21
2016-01-18 22:00:00,4734.999999996275,18,22
2016-01-18 23:00:00,2846.0,18,23
2016-01-19 00:00:00,2808.0,19,0
2016-01-19 01:00:00,2840.0000000037253,19,1
2016-01-19 02:00:00,3007.9999999962747,19,2
2016-01-19 03:00:00,2803.0,19,3
2016-01-19 04:00:00,2817.0,19,4
2016-01-19 05:00:00,2759.0,19,5
2016-01-19 06:00:00,2971.0,19,6
2016-01-19 07:00:00,2907.0,19,7
2016-01-19 08:00:00,2918.0,19,8
2016-01-19 09:00:00,4002.0000000037253,19,9
2016-01-19 10:00:00,7188.999999996275,19,10
2016-01-19 11:00:00,7010.0,19,11
2016-01-19 12:00:00,7202.000000001863,19,12
2016-01-19 13:00:00,7218.999999996275,19,13
2016-01-19 14:00:00,7315.999999994412,19,14
2016-01-19 15:00:00,6959.000000007451,19,15
2016-01-19 16:00:00,6598.999999998137,19,16
2016-01-19 17:00:00,6865.000000001863,19,17
2016-01-19 18:00:00,6875.000000001863,19,18
2016-01-19 19:00:00,7445.999999998137,19,19
2016-01-19 20:00:00,6783.000000001863,19,20
2016-01-19 21:00:00,6558.999999990687,19,21
2016-01-19 22:00:00,5541.000000009313,19,22
2016-01-19 23:00:00,2930.9999999981374,19,23
2016-01-20 00:00:00,2835.0,20,0
2016-01-20 01:00:00,2768.0,20,1
2016-01-20 02:00:00,2885.9999999962747,20,2
2016-01-20 03:00:00,2940.0000000037253,20,3
2016-01-20 04:00:00,2768.0,20,4
2016-01-20 05:00:00,2786.0,20,5
2016-01-20 06:00:00,2789.0000000018626,20,6
2016-01-20 07:00:00,3041.999999990687,20,7
2016-01-20 08:00:00,2946.0000000074506,20,8
2016-01-20 09:00:00,5522.0,20,9
2016-01-20 10:00:00,6703.999999998137,20,10
2016-01-20 11:00:00,6748.000000005588,20,11
2016-01-20 12:00:00,6628.0,20,12
2016-01-20 13:00:00,6601.999999996275,20,13
2016-01-20 14:00:00,6865.0,20,14
2016-01-20 15:00:00,6691.0,20,15
2016-01-20 16:00:00,6552.999999996275,20,16
2016-01-20 17:00:00,6914.000000005588,20,17
2016-01-20 18:00:00,6751.999999998137,20,18
2016-01-20 19:00:00,6519.0,20,19
2016-01-20 20:00:00,5868.999999998137,20,20
2016-01-20 21:00:00,5639.999999994412,20,21
2016-01-20 22:00:00,3537.0000000074506,20,22
2016-01-20 23:00:00,2882.0,20,23
2016-01-21 00:00:00,2837.9999999962747,21,0
2016-01-21 01:00:00,2784.0,21,1
2016-01-21 02:00:00,2727.0000000037253,21,2
2016-01-21 03:00:00,2749.0000000037253,21,3
2016-01-21 04:00:00,2860.9999999962747,21,4
2016-01-21 05:00:00,2745.9999999962747,21,5
2016-01-21 06:00:00,2707.0000000074506,21,6
2016-01-21 07:00:00,2966.9999999925494,21,7
2016-01-21 08:00:00,3073.0000000037253,21,8
2016-01-21 09:00:00,3862.0,21,9
2016-01-21 10:00:00,7071.000000003725,21,10
